Emp ID;Name Prefix;First Name;Middle Initial;Last Name;Gender;E Mail;Father's Name;Mother's Name;Mother's Maiden Name;Date of Birth;Time of Birth;Age in Yrs.;Weight in Kgs.;Date of Joining;Quarter of Joining;Half of Joining;Year of Joining;Month of Joining;Month Name of Joining;Short Month;Day of Joining;DOW of Joining;Short DOW;Age in Company (Years);Salary;Last % Hike;SSN;Phone No. ;Province ID;User Name;Password
612850;Ms.;Bethany;Z;Cline;F;bethany.cline@yahoo.ca;Eddie Cline;Deanne Cline;Gordon;10/01/1986;5:22:21 AM;30.84;48;4/19/2008;Q2;H1;2008;4;April;Apr;19;Saturday;Sat;9.28;154836;21%;700-18-6519;215-970-5881;41;bzcline;6wvl^0+zl.b/1
483751;Prof.;Reid;F;Randolph;M;reid.randolph@gmail.com;Grover Randolph;Erika Randolph;Melendez;1/20/1989;11:39:31 PM;28.54;78;04/08/2017;Q2;H1;2017;4;April;Apr;8;Saturday;Sat;0.3;124757;17%;343-11-4951;209-996-8902;29;rfrandolph;Uc@^[]cqnZs
252938;Hon.;Antoine;H;Wiley;M;antoine.wiley@verizon.net;Frances Wiley;Naomi Wiley;Kirby;2/22/1996;6:29:11 PM;21.44;61;4/18/2017;Q2;H1;2017;4;April;Apr;18;Tuesday;Tue;0.28;58733;24%;078-02-8772;503-361-6334;58;ahwiley;r~4%7~uU|I<4CJ
966375;Dr.;Mathew;O;Hodge;M;mathew.hodge@hotmail.com;Prince Hodge;Regina Hodge;Henderson;07/05/1995;3:24:44 PM;22.08;89;11/11/2016;Q4;H2;2016;11;November;Nov;11;Friday;Fri;0.71;75584;14%;161-86-9547;209-294-7430;50;mohodge;1E7oKc:M!cKsgq
707520;Mr.;Bernardo;L;Austin;M;bernardo.austin@hotmail.com;Lowell Austin;Shauna Austin;Humphrey;02/02/1975;11:18:06 PM;42.51;64;1/26/2005;Q1;H1;2005;1;January;Jan;26;Wednesday;Wed;12.51;118693;15%;143-23-9034;319-716-4227;15;blaustin;S:An&6n%>s!
673049;Dr.;Cole;E;Jensen;M;cole.jensen@aol.com;Terence Jensen;Belinda Jensen;Brown;02/10/1990;7:36:01 PM;27.48;74;5/30/2011;Q2;H1;2011;5;May;May;30;Monday;Mon;6.17;98381;22%;762-12-1934;405-495-4201;73;cejensen;C@#*|0ODx{7%bc
265124;Ms.;Tonia;J;Burns;F;tonia.burns@gmail.com;Johnathan Burns;Brianna Burns;Lester;4/19/1985;10:44:02 PM;32.3;50;09/12/2014;Q3;H2;2014;9;September;Sep;12;Friday;Fri;2.88;102274;19%;093-02-0725;209-631-5424;11;tjburns;0bGtW[zHT?eSq\N
300693;Mr.;Tod;N;Holcomb;M;tod.holcomb@outlook.com;Gail Holcomb;Beulah Holcomb;Keller;6/21/1987;5:10:47 AM;30.12;76;06/05/2015;Q2;H1;2015;6;June;Jun;5;Friday;Fri;2.15;91719;3%;770-02-9125;240-364-4220;17;tnholcomb;205oA^B^
369712;Mrs.;Yesenia;B;Guerrero;F;yesenia.guerrero@btinternet.com;Alfred Guerrero;Lori Guerrero;Joyner;3/29/1968;4:24:45 PM;49.36;41;03/03/1994;Q1;H1;1994;3;March;Mar;3;Thursday;Thu;23.42;150016;4%;494-29-3248;240-505-5321;22;ybguerrero;R:%7@}wYr$
913253;Mr.;Carey;B;Ferrell;M;carey.ferrell@yahoo.com;Robby Ferrell;Christi Ferrell;Bradshaw;5/22/1972;4:16:53 PM;45.21;87;10/30/2004;Q4;H2;2004;10;October;Oct;30;Saturday;Sat;12.75;125232;5%;522-99-2018;212-495-4523;91;cbferrell;U~BdKWV?i.
308617;Mrs.;Aileen;D;Blanchard;F;aileen.blanchard@gmail.com;Kurt Blanchard;Virgie Blanchard;Christian;12/05/1986;11:18:17 AM;30.67;49;7/18/2009;Q3;H2;2009;7;July;Jul;18;Saturday;Sat;8.03;179264;13%;401-73-0903;308-788-3843;57;adblanchard;y^c.5-
766783;Mrs.;Marta;N;Cervantes;F;marta.cervantes@gmail.com;Fletcher Cervantes;Hazel Cervantes;Singleton;2/17/1971;8:46:37 AM;46.47;48;9/17/2016;Q3;H2;2016;9;September;Sep;17;Saturday;Sat;0.86;68134;14%;530-99-5537;206-858-9176;38;mncervantes;qUe$H{X:O{hd
959506;Mr.;Arthur;Q;Holloway;M;arthur.holloway@aol.com;Reggie Holloway;Rosemarie Holloway;Pope;9/21/1970;11:57:43 PM;46.88;65;1/27/2004;Q1;H1;2004;1;January;Jan;27;Tuesday;Tue;13.51;118621;6%;210-84-4283;225-832-0451;26;aqholloway;n<@dGdwIzUwvPk
513011;Ms.;Tara;Y;Forbes;F;tara.forbes@gmail.com;Davis Forbes;Elvia Forbes;Gonzalez;6/26/1976;7:47:36 PM;41.12;55;9/24/2009;Q3;H2;2009;9;September;Sep;24;Thursday;Thu;7.85;85864;26%;249-99-1301;319-249-4281;82;tyforbes;Y%4awtgN^R
290808;Mr.;Josef;S;Griffin;M;josef.griffin@yahoo.com;Dee Griffin;Leonor Griffin;Glass;8/14/1976;4:28:48 AM;40.98;73;2/25/1998;Q1;H1;1998;2;February;Feb;25;Wednesday;Wed;19.43;98030;30%;263-99-4192;209-441-9130;82;jsgriffin;s#m$4tEDNy.WlWS
253588;Ms.;Keri;J;Slater;F;keri.slater@apple.com;Tyler Slater;Jeanne Slater;Bowman;08/03/1960;11:14:40 AM;57.02;58;08/09/1994;Q3;H2;1994;8;August;Aug;9;Tuesday;Tue;22.98;149842;10%;391-33-2772;207-842-2965;90;kjslater;s//}_Fg#2%3myC
865628;Mr.;Desmond;R;Wynn;M;desmond.wynn@hotmail.com;Louis Wynn;Marianne Wynn;Dennis;07/09/1992;4:39:00 AM;25.07;58;10/01/2013;Q4;H2;2013;10;October;Oct;1;Tuesday;Tue;3.82;79476;9%;672-48-8042;209-319-3405;49;drwynn;7<mlnx<s+rU7
583924;Mrs.;Adrienne;H;Puckett;F;adrienne.puckett@verizon.net;Fletcher Puckett;Nicole Puckett;Barron;5/22/1975;11:45:23 AM;42.21;47;2/22/1997;Q1;H1;1997;2;February;Feb;22;Saturday;Sat;20.44;105366;25%;218-89-2915;209-235-0390;20;ahpuckett;lI+
932453;Mrs.;Beatriz;I;Knowles;F;beatriz.knowles@gmail.com;Jackson Knowles;Ava Knowles;Horton;2/25/1984;12:06:41 PM;33.44;49;9/16/2011;Q3;H2;2011;9;September;Sep;16;Friday;Fri;5.87;53311;18%;708-18-8763;406-923-1326;41;biknowles;HGrMUb9]YhisE
432168;Hon.;Jermaine;S;Sykes;M;jermaine.sykes@apple.com;Garth Sykes;Sheila Sykes;Dorsey;1/18/1990;4:48:36 AM;27.54;51;5/24/2016;Q2;H1;2016;5;May;May;24;Tuesday;Tue;1.18;122631;5%;558-99-4351;239-204-8747;33;jssykes;0U_0M\tj[m6gC
463784;Mr.;Scott;H;Best;M;scott.best@cox.net;Chase Best;Wendi Best;Richmond;8/24/1990;3:14:37 AM;26.95;84;12/22/2015;Q4;H2;2015;12;December;Dec;22;Tuesday;Tue;1.6;45210;30%;118-98-6210;307-504-4165;57;shbest;bvGAV^e7JXQvBt1
721098;Ms.;Isabel;Q;Espinoza;F;isabel.espinoza@gmail.com;Kennith Espinoza;Louisa Espinoza;Pena;12/09/1971;5:23:30 AM;45.67;47;10/14/1993;Q4;H2;1993;10;October;Oct;14;Thursday;Thu;23.8;115858;5%;393-33-2020;405-622-8606;28;iqespinoza;yWuGDStb?sj7d
392678;Mr.;Marcelino;Y;Kinney;M;marcelino.kinney@gmail.com;Alexander Kinney;Elizabeth Kinney;Barber;1/26/1996;11:20:16 PM;21.52;89;2/28/2017;Q1;H1;2017;2;February;Feb;28;Tuesday;Tue;0.41;178750;19%;013-94-1066;479-929-0873;31;mykinney;Xw?WXFM{J3GkQq3
880704;Dr.;Benjamin;X;Jennings;M;benjamin.jennings@gmail.com;Wilfredo Jennings;Toni Jennings;Silva;5/21/1977;10:52:43 AM;40.21;53;06/10/2001;Q2;H1;2001;6;June;Jun;10;Sunday;Sun;16.14;115574;3%;585-99-8326;907-621-7774;58;bxjennings;4u:O$kyhzQD32$
186102;Drs.;Marcia;N;Casey;F;marcia.casey@gmail.com;Lynn Casey;Melinda Casey;Eaton;7/24/1966;2:15:07 PM;51.05;56;11/08/2013;Q4;H2;2013;11;November;Nov;8;Friday;Fri;3.72;118607;6%;433-99-1252;210-804-3397;78;mncasey;3z$F$H*S>
350367;Mr.;Rudolph;P;Gordon;M;rudolph.gordon@aol.com;Shelton Gordon;Valerie Gordon;Ashley;4/28/1979;8:03:45 PM;38.28;73;11/12/2001;Q4;H2;2001;11;November;Nov;12;Monday;Mon;15.72;98990;26%;461-99-0808;304-418-1131;39;rpgordon;TqE&Z>nRhOgI7d
893976;Ms.;Beverly;I;Rosales;F;beverly.rosales@yahoo.com;Jerrod Rosales;Dianna Rosales;Hoover;03/04/1975;3:26:20 AM;42.43;45;4/24/2005;Q2;H1;2005;4;April;Apr;24;Sunday;Sun;12.27;139394;21%;475-55-0832;217-490-8205;87;birosales;k?3fJstfE?R
542826;Mr.;Marcus;D;Bolton;M;marcus.bolton@aol.com;Ernie Bolton;Gloria Bolton;Medina;07/05/1977;5:03:37 PM;40.09;68;01/09/2011;Q1;H1;2011;1;January;Jan;9;Sunday;Sun;6.55;63525;24%;068-02-2280;212-514-2721;85;mdbolton;2OcV@F5^BFn
590579;Ms.;Priscilla;Z;Mays;F;priscilla.mays@gmail.com;Will Mays;Alexandra Mays;Russo;09/04/1985;9:07:28 AM;31.92;57;2/26/2017;Q1;H1;2017;2;February;Feb;26;Sunday;Sun;0.42;185105;25%;377-37-1416;231-346-3176;47;pzmays;48fet|^>GE
297741;Ms.;Lynn;E;Pena;F;lynn.pena@yahoo.co.in;Joshua Pena;Carey Pena;Peterson;8/14/1962;7:00:21 PM;54.99;40;11/08/1996;Q4;H2;1996;11;November;Nov;8;Friday;Fri;20.73;48443;4%;524-99-3502;217-334-0502;68;lepena;iRa12S<}EeB
458320;Ms.;Tessa;D;Pace;F;tessa.pace@aol.com;Edwin Pace;Matilda Pace;Ramsey;12/07/1957;7:04:41 PM;59.68;55;12/29/2012;Q4;H2;2012;12;December;Dec;29;Saturday;Sat;4.58;44198;17%;135-25-6072;319-672-2590;63;tdpace;t].VIsI_B8
297059;Mr.;Rufus;S;Guerra;M;rufus.guerra@rediffmail.com;Carmen Guerra;Regina Guerra;Guy;12/25/1967;7:31:09 PM;49.62;83;05/01/2004;Q2;H1;2004;5;May;May;1;Saturday;Sat;13.25;169620;2%;200-84-8326;212-472-1331;68;rsguerra;ydw~jANV1S.
874971;Mr.;Roman;R;Clark;M;roman.clark@aol.com;Denny Clark;Nola Clark;Parsons;12/25/1962;4:21:12 PM;54.63;86;01/08/1985;Q1;H1;1985;1;January;Jan;8;Tuesday;Tue;32.57;125299;13%;093-02-5729;215-567-2136;62;rrclark;J#zr2h\w
136626;Ms.;Carmela;D;Jefferson;F;carmela.jefferson@walmart.com;Emile Jefferson;Lena Jefferson;Wall;3/17/1975;10:20:54 PM;42.39;41;2/27/2003;Q1;H1;2003;2;February;Feb;27;Thursday;Thu;14.42;132431;1%;395-33-1359;239-941-5976;21;cdjefferson;sX[4VN1HRF>w
865495;Mr.;Thurman;J;Good;M;thurman.good@yahoo.com;Tim Good;Selena Good;Mathis;1/27/1996;3:38:43 AM;21.52;90;02/06/2017;Q1;H1;2017;2;February;Feb;6;Monday;Mon;0.47;118525;26%;306-37-8083;217-874-3909;47;tjgood;HB}g+@]
415161;Dr.;Lemuel;V;Guerrero;M;lemuel.guerrero@aol.com;Silas Guerrero;Cecelia Guerrero;Hinton;06/07/1985;3:41:35 AM;32.16;56;10/15/2011;Q4;H2;2011;10;October;Oct;15;Saturday;Sat;5.79;127772;16%;759-12-8112;215-226-4111;29;lvguerrero;kB1pj3NT#{
279563;Mr.;Clint;A;Bridges;M;clint.bridges@aol.com;Jimmy Bridges;Leila Bridges;Rush;05/03/1994;8:15:45 AM;23.25;61;10/14/2015;Q4;H2;2015;10;October;Oct;14;Wednesday;Wed;1.79;67442;15%;366-39-9002;217-331-1409;39;cabridges;5
201710;Ms.;Karyn;A;Christian;F;karyn.christian@aol.com;Joel Christian;Laverne Christian;Stein;5/22/1983;9:16:45 AM;34.21;44;6/18/2017;Q2;H1;2017;6;June;Jun;18;Sunday;Sun;0.11;96197;1%;338-11-7664;206-731-9312;76;kachristian;YyDQ{@\FB
722543;Ms.;Lesa;E;Hughes;F;lesa.hughes@bp.com;Angelo Hughes;Johnnie Hughes;Ellison;2/13/1981;10:00:35 AM;36.48;59;01/03/2016;Q1;H1;2016;1;January;Jan;3;Sunday;Sun;1.57;96641;18%;302-15-6438;219-822-4544;22;lehughes;1!K!f{wRb
909337;Mr.;Rich;M;Bates;M;rich.bates@apple.com;Dario Bates;Selma Bates;Harrington;2/28/1989;10:59:01 AM;28.43;75;1/22/2011;Q1;H1;2011;1;January;Jan;22;Saturday;Sat;6.52;145181;8%;762-12-7813;270-833-4069;78;rmbates;KEmtY
601071;Ms.;Liz;H;Frank;F;liz.frank@hotmail.com;Jules Frank;Eva Frank;Beck;3/15/1986;6:31:03 PM;31.39;50;2/14/2009;Q1;H1;2009;2;February;Feb;14;Saturday;Sat;8.45;199943;18%;361-08-6826;339-926-4628;36;lhfrank;z
269523;Hon.;Kendra;X;Villarreal;F;kendra.villarreal@gmail.com;Abraham Villarreal;Beryl Villarreal;Boone;10/22/1963;8:35:28 PM;53.8;47;3/30/2007;Q1;H1;2007;3;March;Mar;30;Friday;Fri;10.34;144517;5%;298-15-2734;319-625-4770;21;kxvillarreal;Kwd>&}C3K]
310986;Drs.;Maryellen;R;Mcfadden;F;maryellen.mcfadden@hotmail.co.uk;Terrell Mcfadden;Jewel Mcfadden;Herring;10/03/1975;1:23:18 AM;41.85;53;4/14/2017;Q2;H1;2017;4;April;Apr;14;Friday;Fri;0.29;94221;9%;437-99-3995;479-467-9379;72;mrmcfadden;cG:vj~H3f^
323914;Mr.;German;M;Carney;M;german.carney@aol.com;Damien Carney;Elvia Carney;Blanchard;7/21/1958;11:02:04 AM;59.06;77;5/14/2000;Q2;H1;2000;5;May;May;14;Sunday;Sun;17.22;84824;6%;117-98-3137;231-975-6713;49;gmcarney;j#Q!6AZkYL-IIHl
928739;Hon.;Micheal;A;Shannon;M;micheal.shannon@earthlink.net;Jackson Shannon;Casey Shannon;Giles;12/08/1986;8:29:23 PM;30.66;62;2/27/2015;Q1;H1;2015;2;February;Feb;27;Friday;Fri;2.42;143864;1%;610-87-0573;217-864-7925;69;mashannon;I2L}VZh1m5S8i
238992;Dr.;Carlo;X;Albert;M;carlo.albert@gmail.com;Sydney Albert;Clarice Albert;Hebert;12/06/1961;8:21:44 PM;55.68;70;12/26/1996;Q4;H2;1996;12;December;Dec;26;Thursday;Thu;20.6;104197;8%;684-24-8918;212-267-9103;65;cxalbert;zL^Du$>q+nG
434046;Mrs.;Bianca;I;Langley;F;bianca.langley@gmail.com;Elvis Langley;Georgina Langley;Castro;06/03/1960;7:32:16 AM;57.19;50;4/14/1994;Q2;H1;1994;4;April;Apr;14;Thursday;Thu;23.3;80844;30%;548-99-1891;228-683-5798;57;bilangley;Z\%t~Y9kmu5
971444;Mr.;Elias;X;Cabrera;M;elias.cabrera@yahoo.com;Boyd Cabrera;Laurel Cabrera;Haley;7/13/1990;11:58:44 PM;27.06;50;05/02/2016;Q2;H1;2016;5;May;May;2;Monday;Mon;1.24;87962;12%;327-11-4323;215-258-0052;16;excabrera;z:}0rg2-}~[P4
602683;Ms.;Alberta;A;Chapman;F;alberta.chapman@comcast.net;Bradley Chapman;Karla Chapman;Parrish;06/05/1972;3:17:34 AM;45.18;54;6/29/1999;Q2;H1;1999;6;June;Jun;29;Tuesday;Tue;18.09;125428;22%;043-15-2394;212-884-9934;72;aachapman;C^ga/Cws
145327;Mr.;Erin;M;Olsen;M;erin.olsen@yahoo.ca;Nick Olsen;Essie Olsen;Solis;08/08/1994;10:59:18 AM;22.99;50;4/19/2016;Q2;H1;2016;4;April;Apr;19;Tuesday;Tue;1.27;66575;14%;078-02-5597;215-325-1574;42;emolsen;3KBKoP~
597202;Dr.;Frederic;E;Stephenson;M;frederic.stephenson@gmail.com;Jeremy Stephenson;Clara Stephenson;Thomas;10/15/1969;12:11:04 AM;47.82;58;4/23/2013;Q2;H1;2013;4;April;Apr;23;Tuesday;Tue;4.27;192498;26%;718-18-4544;314-672-3681;91;festephenson;qN|[?G+gj#p2
168824;Mr.;Tanner;T;Caldwell;M;tanner.caldwell@aol.com;Harlan Caldwell;Adriana Caldwell;Griffin;04/08/1968;5:03:40 AM;49.34;72;06/06/1999;Q2;H1;1999;6;June;Jun;6;Sunday;Sun;18.16;116635;22%;651-62-1143;219-315-4592;77;ttcaldwell;5LO\okOd+n$F*
616665;Mr.;Clarence;I;Powers;M;clarence.powers@gmail.com;Chase Powers;Aileen Powers;Weaver;07/05/1982;12:25:10 PM;35.09;86;04/11/2005;Q2;H1;2005;4;April;Apr;11;Monday;Mon;12.3;108511;6%;485-41-0226;229-748-1788;44;cipowers;mu4P8p?ImR
396135;Prof.;German;I;Sheppard;M;german.sheppard@gmail.com;Lamar Sheppard;Erin Sheppard;Pena;7/29/1991;5:25:19 AM;26.02;66;10/24/2014;Q4;H2;2014;10;October;Oct;24;Friday;Fri;2.76;110021;30%;521-99-4180;252-794-3936;37;gisheppard;d_nOhP*
966525;Mr.;Dion;U;Duffy;M;dion.duffy@aol.com;Tim Duffy;Carmen Duffy;Chase;04/06/1995;8:39:19 PM;22.33;73;1/16/2017;Q1;H1;2017;1;January;Jan;16;Monday;Mon;0.53;124074;26%;537-71-4655;201-358-5413;68;duduffy;sf{A|y:P0pa
362287;Mr.;Cornelius;V;Townsend;M;cornelius.townsend@charter.net;Thomas Townsend;Melisa Townsend;Johnston;06/02/1970;4:33:31 AM;47.19;70;4/26/2009;Q2;H1;2009;4;April;Apr;26;Sunday;Sun;8.26;176165;21%;440-29-7897;314-501-3342;39;cvtownsend;D}Ye^>k9Hn~D
798646;Ms.;Patsy;N;Koch;F;patsy.koch@gmail.com;Wilfredo Koch;Kerry Koch;Barrett;7/15/1984;4:37:18 PM;33.06;49;03/09/2010;Q1;H1;2010;3;March;Mar;9;Tuesday;Tue;7.39;87146;30%;607-87-2784;229-844-7119;18;pnkoch;WH+s*pLB
451972;Hon.;Waldo;I;Shields;M;waldo.shields@aol.com;Clarence Shields;Shelly Shields;Hewitt;11/29/1970;11:34:54 AM;46.69;71;2/22/2012;Q1;H1;2012;2;February;Feb;22;Wednesday;Wed;5.43;62435;2%;770-02-3111;270-993-0450;31;wishields;Y#dmn<!U]u}yq[5
993675;Hon.;Damien;Z;Rose;M;damien.rose@gmail.com;Norman Rose;Earnestine Rose;Clemons;7/15/1965;5:50:03 PM;52.07;80;12/17/2005;Q4;H2;2005;12;December;Dec;17;Saturday;Sat;11.62;161871;17%;619-87-8206;304-392-5876;16;dzrose;7!>S[BCy
807964;Mr.;Curt;Y;Bridges;M;curt.bridges@microsoft.com;Reid Bridges;Cecile Bridges;Whitley;10/22/1978;9:50:37 PM;38.79;62;9/17/2011;Q3;H2;2011;9;September;Sep;17;Saturday;Sat;5.87;97656;18%;633-31-8420;239-399-1809;11;cybridges;dD^M]xn6z+&KV
769123;Mr.;Brenton;N;Matthews;M;brenton.matthews@bellsouth.net;Billy Matthews;Lindsay Matthews;Little;11/06/1970;7:49:17 AM;46.76;53;12/27/1994;Q4;H2;1994;12;December;Dec;27;Tuesday;Tue;22.6;98023;2%;495-29-4565;216-585-2060;76;bnmatthews;gdv}z%QDB#8
395792;Hon.;Miguel;W;Finley;M;miguel.finley@gmail.com;Jaime Finley;Leola Finley;Cain;07/06/1980;12:08:56 PM;37.08;67;07/12/2004;Q3;H2;2004;7;July;Jul;12;Monday;Mon;13.05;103749;13%;698-16-2863;405-566-7872;49;mwfinley;ASzrGkwon\P0
929791;Ms.;Esperanza;E;Paul;F;esperanza.paul@aol.com;Alonzo Paul;Hilda Paul;Dyer;12/10/1960;4:23:04 AM;56.67;42;3/14/1990;Q1;H1;1990;3;March;Mar;14;Wednesday;Wed;27.39;176095;20%;318-11-9459;236-750-2453;58;eepaul;4Boj*Q2j~eU*|>B
141326;Hon.;Patricia;C;Briggs;F;patricia.briggs@yahoo.com;Dalton Briggs;Sally Briggs;Spears;11/13/1975;4:44:54 PM;41.73;53;05/05/2000;Q2;H1;2000;5;May;May;5;Friday;Fri;17.24;160494;0%;711-18-1075;240-914-8001;92;pcbriggs;x-PdHQo?[d-
232794;Dr.;Forrest;B;Noel;M;forrest.noel@hotmail.com;Johnie Noel;Judith Noel;Bates;3/25/1978;4:28:57 AM;39.37;84;04/05/1999;Q2;H1;1999;4;April;Apr;5;Monday;Mon;18.33;112988;29%;107-98-0848;239-609-5243;11;fbnoel;jR2Oz/+^zIZp<
946835;Hon.;Marjorie;J;Wells;F;marjorie.wells@bp.com;Morton Wells;Frankie Wells;Vaughan;9/14/1961;10:32:02 AM;55.91;49;12/02/2005;Q4;H2;2005;12;December;Dec;2;Friday;Fri;11.66;128425;18%;725-18-0941;316-282-5461;41;mjwells;v9i9-_fwqY#T~u
894936;Ms.;Vivian;T;Burnett;F;vivian.burnett@gmail.com;Stephen Burnett;Shana Burnett;Delacruz;02/09/1960;1:02:46 PM;57.5;46;09/06/2001;Q3;H2;2001;9;September;Sep;6;Thursday;Thu;15.9;93355;2%;001-11-5958;236-831-5026;43;vtburnett;yp]4_@~E>tzoOB
946630;Mr.;Duncan;L;Chen;M;duncan.chen@yahoo.co.uk;Edmond Chen;Concetta Chen;Ramos;2/17/1964;7:09:09 AM;53.48;69;11/02/2000;Q4;H2;2000;11;November;Nov;2;Thursday;Thu;16.75;154843;11%;247-99-3757;239-879-2427;63;dlchen;g<\Q-?m#f
381338;Ms.;Miriam;A;Barrett;F;miriam.barrett@yahoo.ca;Rob Barrett;Imogene Barrett;Garrett;6/25/1990;9:08:49 PM;27.11;59;03/08/2016;Q1;H1;2016;3;March;Mar;8;Tuesday;Tue;1.39;131543;14%;031-92-2692;210-779-7802;30;mabarrett;mNCdGZxQSjsDigF
141178;Mr.;Adam;X;Kirby;M;adam.kirby@yahoo.ca;Harry Kirby;Phyllis Kirby;Hobbs;08/11/1963;11:12:59 PM;54;55;08/03/2015;Q3;H2;2015;8;August;Aug;3;Monday;Mon;1.99;107957;22%;152-23-6880;208-736-4975;82;axkirby;K$pE:jff
169763;Prof.;Benjamin;X;Macdonald;M;benjamin.macdonald@gmail.com;Roberto Macdonald;Ursula Macdonald;Campbell;5/16/1976;5:23:05 PM;41.23;57;4/20/1999;Q2;H1;1999;4;April;Apr;20;Tuesday;Tue;18.28;89172;27%;295-15-3529;316-561-5979;24;bxmacdonald;Hp$e&4ffg\97%TN
326358;Mr.;Neil;U;Murray;M;neil.murray@apple.com;Boris Murray;Annmarie Murray;Sharpe;9/17/1985;12:53:17 AM;31.88;90;3/24/2016;Q1;H1;2016;3;March;Mar;24;Thursday;Thu;1.35;84151;22%;375-37-8892;603-851-8092;45;numurray;Y2O1.0^W2k9
185077;Ms.;Nichole;S;Oneil;F;nichole.oneil@shaw.ca;Darrel Oneil;Cynthia Oneil;Cruz;11/30/1957;2:13:51 AM;59.7;58;3/24/2008;Q1;H1;2008;3;March;Mar;24;Monday;Mon;9.35;153345;9%;768-02-1938;209-683-3370;65;nsoneil;W.@8w7r6+
901185;Mr.;Jonathon;M;Pearson;M;jonathon.pearson@yahoo.com;Mitch Pearson;Jimmie Pearson;Marsh;9/30/1967;6:57:09 PM;49.86;62;8/17/2015;Q3;H2;2015;8;August;Aug;17;Monday;Mon;1.95;173372;19%;263-99-7250;240-746-0671;33;jmpearson;Zy:Jp>4:
264960;Dr.;Brent;J;Bryant;M;brent.bryant@aol.com;Melvin Bryant;Becky Bryant;Sparks;05/09/1960;4:45:45 PM;57.26;86;12/30/1985;Q4;H2;1985;12;December;Dec;30;Monday;Mon;31.6;180468;5%;592-99-1277;423-391-0195;74;bjbryant;EI7+EGFJ5F*
